,sample,Spot_col,Spot_row,col,row,in_tissue,Tissue,Brain
100x308,P4-1,100,308,1707,1292,1,Brain,Medulla and Pons(Hb)
100x309,P4-1,100,309,1698,1292,1,Brain,Hy
100x310,P4-1,100,310,1688,1292,1,Brain,Hy
100x311,P4-1,100,311,1679,1292,1,Brain,Hy
100x312,P4-1,100,312,1670,1292,1,Brain,Hy
100x318,P4-1,100,318,1613,1292,1,Brain,PG
100x319,P4-1,100,319,1604,1292,1,Brain,PG
100x320,P4-1,100,320,1595,1292,1,Brain,PG
100x321,P4-1,100,321,1585,1292,1,Brain,PG
100x322,P4-1,100,322,1576,1292,1,Brain,PG
100x323,P4-1,100,323,1567,1292,1,Brain,Hy
100x324,P4-1,100,324,1557,1293,1,Brain,Hy
100x325,P4-1,100,325,1548,1293,1,Brain,Hy
100x326,P4-1,100,326,1539,1293,1,Brain,Hy
100x327,P4-1,100,327,1529,1293,1,Brain,Hy
100x328,P4-1,100,328,1520,1293,1,Brain,Medulla and Pons(Hb)
100x329,P4-1,100,329,1511,1293,1,Brain,Medulla and Pons(Hb)
100x330,P4-1,100,330,1501,1293,1,Brain,Medulla and Pons(Hb)
100x331,P4-1,100,331,1492,1293,1,Brain,Medulla and Pons(Hb)
100x332,P4-1,100,332,1483,1293,1,Brain,Medulla and Pons(Hb)
100x333,P4-1,100,333,1473,1293,1,Brain,Medulla and Pons(Hb)
100x334,P4-1,100,334,1464,1293,1,Brain,Medulla and Pons(Hb)
100x335,P4-1,100,335,1454,1293,1,Brain,Medulla and Pons(Hb)
100x336,P4-1,100,336,1445,1293,1,Brain,Hy
100x337,P4-1,100,337,1436,1293,1,Brain,Medulla and Pons(Hb)
100x338,P4-1,100,338,1426,1293,1,Brain,Medulla and Pons(Hb)
100x339,P4-1,100,339,1417,1293,1,Brain,Medulla and Pons(Hb)
100x340,P4-1,100,340,1408,1293,1,Brain,Medulla and Pons(Hb)
100x341,P4-1,100,341,1398,1293,1,Brain,Medulla and Pons(Hb)
100x342,P4-1,100,342,1389,1293,1,Brain,Medulla and Pons(Hb)
100x343,P4-1,100,343,1380,1293,1,Brain,Medulla and Pons(Hb)
100x344,P4-1,100,344,1370,1293,1,Brain,Medulla and Pons(Hb)
100x345,P4-1,100,345,1361,1293,1,Brain,Medulla and Pons(Hb)
100x346,P4-1,100,346,1352,1293,1,Brain,Medulla and Pons(Hb)
100x347,P4-1,100,347,1342,1293,1,Brain,Medulla and Pons(Hb)
100x348,P4-1,100,348,1333,1294,1,Brain,Medulla and Pons(Hb)
100x349,P4-1,100,349,1324,1294,1,Brain,Medulla and Pons(Hb)
100x350,P4-1,100,350,1314,1294,1,Brain,Medulla and Pons(Hb)
100x351,P4-1,100,351,1305,1294,1,Brain,Medulla and Pons(Hb)
100x352,P4-1,100,352,1295,1294,1,Brain,Medulla and Pons(Hb)
100x353,P4-1,100,353,1286,1294,1,Brain,Medulla and Pons(Hb)
100x354,P4-1,100,354,1277,1294,1,Brain,Medulla and Pons(Hb)
100x355,P4-1,100,355,1267,1294,1,Brain,Medulla and Pons(Hb)
100x356,P4-1,100,356,1258,1294,1,Brain,Medulla and Pons(Hb)
100x357,P4-1,100,357,1249,1294,1,Brain,Medulla and Pons(Hb)
100x358,P4-1,100,358,1239,1294,1,Brain,Medulla and Pons(Hb)
100x359,P4-1,100,359,1230,1294,1,Brain,Medulla and Pons(Hb)
100x360,P4-1,100,360,1221,1294,1,Brain,Medulla and Pons(Hb)
100x361,P4-1,100,361,1211,1294,1,Brain,Medulla and Pons(Hb)
100x362,P4-1,100,362,1202,1294,1,Brain,Medulla and Pons(Hb)
100x363,P4-1,100,363,1193,1294,1,Brain,Medulla and Pons(Hb)
100x364,P4-1,100,364,1183,1294,1,Brain,Medulla and Pons(Hb)
100x365,P4-1,100,365,1174,1294,1,Brain,Medulla and Pons(Hb)
100x366,P4-1,100,366,1165,1294,1,Brain,Medulla and Pons(Hb)
100x367,P4-1,100,367,1155,1294,1,Brain,Medulla and Pons(Hb)
100x368,P4-1,100,368,1146,1294,1,Brain,Medulla and Pons(Hb)
100x369,P4-1,100,369,1137,1294,1,Brain,Medulla and Pons(Hb)
100x370,P4-1,100,370,1127,1294,1,Brain,Medulla and Pons(Hb)
100x371,P4-1,100,371,1118,1294,1,Brain,Medulla and Pons(Hb)
100x372,P4-1,100,372,1108,1295,1,Brain,Medulla and Pons(Hb)
100x373,P4-1,100,373,1099,1295,1,Brain,Medulla and Pons(Hb)
100x374,P4-1,100,374,1090,1295,1,Brain,Medulla and Pons(Hb)
100x375,P4-1,100,375,1080,1295,1,Brain,Medulla and Pons(Hb)
100x376,P4-1,100,376,1071,1295,1,Brain,Medulla and Pons(Hb)
100x377,P4-1,100,377,1062,1295,1,Brain,Medulla and Pons(Hb)
100x378,P4-1,100,378,1052,1295,1,Brain,Medulla and Pons(Hb)
100x379,P4-1,100,379,1043,1295,1,Brain,Medulla and Pons(Hb)
100x380,P4-1,100,380,1034,1295,1,Brain,Medulla and Pons(Hb)
100x381,P4-1,100,381,1024,1295,1,Brain,Medulla and Pons(Hb)
100x382,P4-1,100,382,1015,1295,1,Brain,Medulla and Pons(Hb)
100x383,P4-1,100,383,1006,1295,1,Brain,Medulla and Pons(Hb)
100x384,P4-1,100,384,996,1295,1,Brain,Medulla and Pons(Hb)
100x385,P4-1,100,385,987,1295,1,Brain,CbXWM
100x386,P4-1,100,386,978,1295,1,Brain,CbXWM
100x387,P4-1,100,387,968,1295,1,Brain,CbXigr
100x388,P4-1,100,388,959,1295,1,Brain,CbXWM
100x389,P4-1,100,389,949,1295,1,Brain,CbXWM
100x390,P4-1,100,390,940,1295,1,Brain,CbXWM
100x391,P4-1,100,391,931,1295,1,Brain,CbXWM
100x392,P4-1,100,392,921,1295,1,Brain,CbXWM
100x393,P4-1,100,393,912,1295,1,Brain,CbXWM
100x394,P4-1,100,394,903,1295,1,Brain,CbXWM
101x266,P4-1,101,266,2161,1299,1,Brain,Hy
101x267,P4-1,101,267,2151,1299,1,Brain,Hy
101x268,P4-1,101,268,2142,1299,1,Brain,Hy
101x269,P4-1,101,269,2132,1299,1,Brain,Hy
101x270,P4-1,101,270,2123,1299,1,Brain,Hy
101x271,P4-1,101,271,2114,1299,1,Brain,Hy
101x272,P4-1,101,272,2104,1299,1,Brain,Hy
101x273,P4-1,101,273,2095,1299,1,Brain,Hy
101x274,P4-1,101,274,2086,1300,1,Brain,Hy
101x275,P4-1,101,275,2076,1300,1,Brain,Hy
101x276,P4-1,101,276,2067,1300,1,Brain,Hy
101x277,P4-1,101,277,2058,1300,1,Brain,Hy
101x278,P4-1,101,278,2048,1300,1,Brain,Hy
101x279,P4-1,101,279,2039,1300,1,Brain,Hy
101x280,P4-1,101,280,2030,1300,1,Brain,Hy
101x281,P4-1,101,281,2020,1300,1,Brain,Hy
101x282,P4-1,101,282,2011,1300,1,Brain,Hy
101x283,P4-1,101,283,2002,1300,1,Brain,Hy
101x284,P4-1,101,284,1992,1300,1,Brain,Hy
101x285,P4-1,101,285,1983,1300,1,Brain,Hy
101x286,P4-1,101,286,1973,1300,1,Brain,Hy
101x287,P4-1,101,287,1964,1300,1,Brain,Hy
101x288,P4-1,101,288,1955,1300,1,Brain,Hy
101x289,P4-1,101,289,1945,1300,1,Brain,Hy
101x290,P4-1,101,290,1936,1300,1,Brain,Hy
101x291,P4-1,101,291,1927,1300,1,Brain,Hy
101x292,P4-1,101,292,1917,1300,1,Brain,Hy
101x293,P4-1,101,293,1908,1300,1,Brain,Hy
101x294,P4-1,101,294,1899,1300,1,Brain,Hy
101x295,P4-1,101,295,1889,1300,1,Brain,Hy
101x296,P4-1,101,296,1880,1300,1,Brain,Hy
101x297,P4-1,101,297,1871,1300,1,Brain,Hy
101x298,P4-1,101,298,1861,1301,1,Brain,Hy
101x299,P4-1,101,299,1852,1301,1,Brain,Hy
101x300,P4-1,101,300,1843,1301,1,Brain,Hy
101x301,P4-1,101,301,1772,1301,1,Brain,Hy
101x302,P4-1,101,302,1763,1301,1,Brain,Hy
101x303,P4-1,101,303,1754,1301,1,Brain,Hy
101x304,P4-1,101,304,1744,1301,1,Brain,Hy
101x305,P4-1,101,305,1735,1301,1,Brain,Hy
101x306,P4-1,101,306,1726,1301,1,Brain,Hy
101x307,P4-1,101,307,1716,1301,1,Brain,Hy
101x308,P4-1,101,308,1707,1301,1,Brain,Hy
101x309,P4-1,101,309,1698,1301,1,Brain,Hy
101x310,P4-1,101,310,1688,1301,1,Brain,Hy
101x311,P4-1,101,311,1679,1301,1,Brain,Hy
101x317,P4-1,101,317,1623,1302,1,Brain,PG
101x318,P4-1,101,318,1613,1302,1,Brain,PG
101x319,P4-1,101,319,1604,1302,1,Brain,PG
101x320,P4-1,101,320,1595,1302,1,Brain,PG
101x321,P4-1,101,321,1585,1302,1,Brain,PG
101x322,P4-1,101,322,1576,1302,1,Brain,PG
101x323,P4-1,101,323,1567,1302,1,Brain,PG
101x324,P4-1,101,324,1557,1302,1,Brain,Hy
101x325,P4-1,101,325,1548,1302,1,Brain,Hy
101x326,P4-1,101,326,1539,1302,1,Brain,Hy
101x327,P4-1,101,327,1529,1302,1,Brain,Medulla and Pons(Hb)
101x328,P4-1,101,328,1520,1302,1,Brain,Medulla and Pons(Hb)
101x329,P4-1,101,329,1511,1302,1,Brain,Medulla and Pons(Hb)
101x330,P4-1,101,330,1501,1302,1,Brain,Medulla and Pons(Hb)
101x331,P4-1,101,331,1492,1302,1,Brain,Medulla and Pons(Hb)
101x332,P4-1,101,332,1482,1302,1,Brain,Medulla and Pons(Hb)
101x333,P4-1,101,333,1473,1302,1,Brain,Medulla and Pons(Hb)
101x334,P4-1,101,334,1464,1302,1,Brain,Medulla and Pons(Hb)
101x335,P4-1,101,335,1454,1302,1,Brain,Medulla and Pons(Hb)
101x336,P4-1,101,336,1445,1302,1,Brain,Mb
101x337,P4-1,101,337,1436,1302,1,Brain,Medulla and Pons(Hb)
101x338,P4-1,101,338,1426,1302,1,Brain,Medulla and Pons(Hb)
101x339,P4-1,101,339,1417,1303,1,Brain,Medulla and Pons(Hb)
101x340,P4-1,101,340,1408,1303,1,Brain,Medulla and Pons(Hb)
101x341,P4-1,101,341,1398,1303,1,Brain,Medulla and Pons(Hb)
101x342,P4-1,101,342,1389,1303,1,Brain,Medulla and Pons(Hb)
101x343,P4-1,101,343,1380,1303,1,Brain,Medulla and Pons(Hb)
101x344,P4-1,101,344,1370,1303,1,Brain,Medulla and Pons(Hb)
101x345,P4-1,101,345,1361,1303,1,Brain,Medulla and Pons(Hb)
101x346,P4-1,101,346,1352,1303,1,Brain,Medulla and Pons(Hb)
101x347,P4-1,101,347,1342,1303,1,Brain,Medulla and Pons(Hb)
101x348,P4-1,101,348,1333,1303,1,Brain,Medulla and Pons(Hb)
101x349,P4-1,101,349,1323,1303,1,Brain,Medulla and Pons(Hb)
101x350,P4-1,101,350,1314,1303,1,Brain,Medulla and Pons(Hb)
101x351,P4-1,101,351,1305,1303,1,Brain,Medulla and Pons(Hb)
101x352,P4-1,101,352,1295,1303,1,Brain,Medulla and Pons(Hb)
101x353,P4-1,101,353,1286,1303,1,Brain,Medulla and Pons(Hb)
101x354,P4-1,101,354,1277,1303,1,Brain,Medulla and Pons(Hb)
101x355,P4-1,101,355,1267,1303,1,Brain,Medulla and Pons(Hb)
101x356,P4-1,101,356,1258,1303,1,Brain,Medulla and Pons(Hb)
101x357,P4-1,101,357,1249,1303,1,Brain,Medulla and Pons(Hb)
101x358,P4-1,101,358,1239,1303,1,Brain,Medulla and Pons(Hb)
101x359,P4-1,101,359,1230,1303,1,Brain,Medulla and Pons(Hb)
101x360,P4-1,101,360,1221,1303,1,Brain,Medulla and Pons(Hb)
101x361,P4-1,101,361,1211,1303,1,Brain,Medulla and Pons(Hb)
101x362,P4-1,101,362,1202,1303,1,Brain,Medulla and Pons(Hb)
101x363,P4-1,101,363,1193,1304,1,Brain,Medulla and Pons(Hb)
101x364,P4-1,101,364,1183,1304,1,Brain,Medulla and Pons(Hb)
101x365,P4-1,101,365,1174,1304,1,Brain,Medulla and Pons(Hb)
101x366,P4-1,101,366,1164,1304,1,Brain,Medulla and Pons(Hb)
101x367,P4-1,101,367,1155,1304,1,Brain,Medulla and Pons(Hb)
101x368,P4-1,101,368,1146,1304,1,Brain,Medulla and Pons(Hb)
101x369,P4-1,101,369,1136,1304,1,Brain,Medulla and Pons(Hb)
101x370,P4-1,101,370,1127,1304,1,Brain,Medulla and Pons(Hb)
101x371,P4-1,101,371,1118,1304,1,Brain,Medulla and Pons(Hb)
101x372,P4-1,101,372,1108,1304,1,Brain,Medulla and Pons(Hb)
101x373,P4-1,101,373,1099,1304,1,Brain,Medulla and Pons(Hb)
101x374,P4-1,101,374,1090,1304,1,Brain,Medulla and Pons(Hb)
101x375,P4-1,101,375,1080,1304,1,Brain,Medulla and Pons(Hb)
101x376,P4-1,101,376,1071,1304,1,Brain,Medulla and Pons(Hb)
101x377,P4-1,101,377,1062,1304,1,Brain,Medulla and Pons(Hb)
101x378,P4-1,101,378,1052,1304,1,Brain,Medulla and Pons(Hb)
101x379,P4-1,101,379,1043,1304,1,Brain,Medulla and Pons(Hb)
101x380,P4-1,101,380,1034,1304,1,Brain,Medulla and Pons(Hb)
101x381,P4-1,101,381,1024,1304,1,Brain,Medulla and Pons(Hb)
101x382,P4-1,101,382,1015,1304,1,Brain,Medulla and Pons(Hb)
101x383,P4-1,101,383,1005,1304,1,Brain,Medulla and Pons(Hb)
101x384,P4-1,101,384,996,1304,1,Brain,Medulla and Pons(Hb)
101x385,P4-1,101,385,987,1304,1,Brain,Medulla and Pons(Hb)
101x386,P4-1,101,386,977,1304,1,Brain,Medulla and Pons(Hb)
101x387,P4-1,101,387,968,1305,1,Brain,Medulla and Pons(Hb)
101x388,P4-1,101,388,959,1305,1,Brain,Medulla and Pons(Hb)
101x389,P4-1,101,389,949,1305,1,Brain,Medulla and Pons(Hb)
101x390,P4-1,101,390,940,1305,1,Brain,CbXWM
102x271,P4-1,102,271,2114,1309,1,Brain,Hy
102x272,P4-1,102,272,2104,1309,1,Brain,Hy
102x273,P4-1,102,273,2095,1309,1,Brain,Hy
102x274,P4-1,102,274,2086,1309,1,Brain,Hy
102x275,P4-1,102,275,2076,1309,1,Brain,Hy
102x276,P4-1,102,276,2067,1309,1,Brain,Hy
102x277,P4-1,102,277,2058,1309,1,Brain,Hy
102x278,P4-1,102,278,2048,1309,1,Brain,Hy
102x279,P4-1,102,279,2039,1309,1,Brain,Hy
102x280,P4-1,102,280,2029,1309,1,Brain,Hy
102x281,P4-1,102,281,2020,1309,1,Brain,Hy
102x282,P4-1,102,282,2011,1309,1,Brain,Hy
102x283,P4-1,102,283,2001,1309,1,Brain,Hy
102x284,P4-1,102,284,1992,1309,1,Brain,Hy
102x285,P4-1,102,285,1983,1309,1,Brain,Hy
102x286,P4-1,102,286,1973,1309,1,Brain,Hy
102x287,P4-1,102,287,1964,1309,1,Brain,Hy
102x288,P4-1,102,288,1955,1309,1,Brain,Hy
102x289,P4-1,102,289,1945,1309,1,Brain,Hy
102x290,P4-1,102,290,1936,1310,1,Brain,Hy
102x291,P4-1,102,291,1927,1310,1,Brain,Hy
102x292,P4-1,102,292,1917,1310,1,Brain,Hy
102x293,P4-1,102,293,1908,1310,1,Brain,Hy
102x294,P4-1,102,294,1899,1310,1,Brain,Hy
102x295,P4-1,102,295,1889,1310,1,Brain,Hy
102x296,P4-1,102,296,1880,1310,1,Brain,Hy
102x297,P4-1,102,297,1871,1310,1,Brain,Hy
102x298,P4-1,102,298,1861,1310,1,Brain,Hy
102x299,P4-1,102,299,1852,1310,1,Brain,Hy
102x300,P4-1,102,300,1842,1310,1,Brain,Hy
102x301,P4-1,102,301,1772,1310,1,Brain,Hy
102x302,P4-1,102,302,1763,1310,1,Brain,Hy
102x303,P4-1,102,303,1754,1310,1,Brain,Hy
102x304,P4-1,102,304,1744,1310,1,Brain,Hy
102x305,P4-1,102,305,1735,1310,1,Brain,Hy
102x306,P4-1,102,306,1726,1310,1,Brain,Hy
102x307,P4-1,102,307,1716,1311,1,Brain,Hy
102x308,P4-1,102,308,1707,1311,1,Brain,Hy
102x309,P4-1,102,309,1697,1311,1,Brain,Hy
102x310,P4-1,102,310,1688,1311,1,Brain,Hy
102x311,P4-1,102,311,1679,1311,1,Brain,Hy
102x316,P4-1,102,316,1632,1311,1,Brain,PG
102x317,P4-1,102,317,1623,1311,1,Brain,PG
102x318,P4-1,102,318,1613,1311,1,Brain,PG
102x319,P4-1,102,319,1604,1311,1,Brain,PG
102x320,P4-1,102,320,1595,1311,1,Brain,PG
102x321,P4-1,102,321,1585,1311,1,Brain,PG
102x322,P4-1,102,322,1576,1311,1,Brain,PG
102x323,P4-1,102,323,1567,1311,1,Brain,PG
102x324,P4-1,102,324,1557,1311,1,Brain,Hy
102x325,P4-1,102,325,1548,1311,1,Brain,Hy
102x326,P4-1,102,326,1538,1311,1,Brain,Hy
102x327,P4-1,102,327,1529,1311,1,Brain,Medulla and Pons(Hb)
102x328,P4-1,102,328,1520,1311,1,Brain,Medulla and Pons(Hb)
102x329,P4-1,102,329,1510,1311,1,Brain,Medulla and Pons(Hb)
102x330,P4-1,102,330,1501,1311,1,Brain,Medulla and Pons(Hb)
102x331,P4-1,102,331,1492,1312,1,Brain,Medulla and Pons(Hb)
102x332,P4-1,102,332,1482,1312,1,Brain,Medulla and Pons(Hb)
102x333,P4-1,102,333,1473,1312,1,Brain,Medulla and Pons(Hb)
102x334,P4-1,102,334,1464,1312,1,Brain,Medulla and Pons(Hb)
102x335,P4-1,102,335,1454,1312,1,Brain,Medulla and Pons(Hb)
102x336,P4-1,102,336,1445,1312,1,Brain,Medulla and Pons(Hb)
102x337,P4-1,102,337,1436,1312,1,Brain,Medulla and Pons(Hb)
102x338,P4-1,102,338,1426,1312,1,Brain,Medulla and Pons(Hb)
102x339,P4-1,102,339,1417,1312,1,Brain,Medulla and Pons(Hb)
102x340,P4-1,102,340,1408,1312,1,Brain,Substantia nigra
102x341,P4-1,102,341,1398,1312,1,Brain,Medulla and Pons(Hb)
102x342,P4-1,102,342,1389,1312,1,Brain,Medulla and Pons(Hb)
102x343,P4-1,102,343,1380,1312,1,Brain,Medulla and Pons(Hb)
102x344,P4-1,102,344,1370,1312,1,Brain,Medulla and Pons(Hb)
102x345,P4-1,102,345,1361,1312,1,Brain,Medulla and Pons(Hb)
102x346,P4-1,102,346,1351,1312,1,Brain,Medulla and Pons(Hb)
102x347,P4-1,102,347,1342,1312,1,Brain,Medulla and Pons(Hb)
102x348,P4-1,102,348,1333,1312,1,Brain,Medulla and Pons(Hb)
102x349,P4-1,102,349,1323,1312,1,Brain,Medulla and Pons(Hb)
102x350,P4-1,102,350,1314,1312,1,Brain,Medulla and Pons(Hb)
102x351,P4-1,102,351,1305,1312,1,Brain,Medulla and Pons(Hb)
102x352,P4-1,102,352,1295,1312,1,Brain,Medulla and Pons(Hb)
102x353,P4-1,102,353,1286,1312,1,Brain,Medulla and Pons(Hb)
102x354,P4-1,102,354,1277,1312,1,Brain,Medulla and Pons(Hb)
102x355,P4-1,102,355,1267,1313,1,Brain,Medulla and Pons(Hb)
102x356,P4-1,102,356,1258,1313,1,Brain,Medulla and Pons(Hb)
102x357,P4-1,102,357,1249,1313,1,Brain,Medulla and Pons(Hb)
102x358,P4-1,102,358,1239,1313,1,Brain,Medulla and Pons(Hb)
102x359,P4-1,102,359,1230,1313,1,Brain,Medulla and Pons(Hb)
102x360,P4-1,102,360,1221,1313,1,Brain,Medulla and Pons(Hb)
102x361,P4-1,102,361,1211,1313,1,Brain,Medulla and Pons(Hb)
102x362,P4-1,102,362,1202,1313,1,Brain,Medulla and Pons(Hb)
102x363,P4-1,102,363,1192,1313,1,Brain,Medulla and Pons(Hb)
102x364,P4-1,102,364,1183,1313,1,Brain,Medulla and Pons(Hb)
102x365,P4-1,102,365,1174,1313,1,Brain,Medulla and Pons(Hb)
102x366,P4-1,102,366,1164,1313,1,Brain,Medulla and Pons(Hb)
102x367,P4-1,102,367,1155,1313,1,Brain,Medulla and Pons(Hb)
102x368,P4-1,102,368,1146,1313,1,Brain,Medulla and Pons(Hb)
102x369,P4-1,102,369,1136,1313,1,Brain,Medulla and Pons(Hb)
102x370,P4-1,102,370,1127,1313,1,Brain,Medulla and Pons(Hb)
102x371,P4-1,102,371,1118,1313,1,Brain,Medulla and Pons(Hb)
102x372,P4-1,102,372,1108,1313,1,Brain,Medulla and Pons(Hb)
102x373,P4-1,102,373,1099,1313,1,Brain,Medulla and Pons(Hb)
102x374,P4-1,102,374,1090,1313,1,Brain,Medulla and Pons(Hb)
102x375,P4-1,102,375,1080,1313,1,Brain,Medulla and Pons(Hb)
102x376,P4-1,102,376,1071,1313,1,Brain,Medulla and Pons(Hb)
102x377,P4-1,102,377,1062,1313,1,Brain,Medulla and Pons(Hb)
102x378,P4-1,102,378,1052,1313,1,Brain,Medulla and Pons(Hb)
102x379,P4-1,102,379,1043,1314,1,Brain,Medulla and Pons(Hb)
102x380,P4-1,102,380,1033,1314,1,Brain,Medulla and Pons(Hb)
102x381,P4-1,102,381,1024,1314,1,Brain,Medulla and Pons(Hb)
102x382,P4-1,102,382,1015,1314,1,Brain,Medulla and Pons(Hb)
102x383,P4-1,102,383,1005,1314,1,Brain,Medulla and Pons(Hb)
102x384,P4-1,102,384,996,1314,1,Brain,Medulla and Pons(Hb)
102x385,P4-1,102,385,987,1314,1,Brain,Medulla and Pons(Hb)
102x386,P4-1,102,386,977,1314,1,Brain,Medulla and Pons(Hb)
102x387,P4-1,102,387,968,1314,1,Brain,Medulla and Pons(Hb)
102x388,P4-1,102,388,959,1314,1,Brain,Medulla and Pons(Hb)
102x389,P4-1,102,389,949,1314,1,Brain,Medulla and Pons(Hb)
102x390,P4-1,102,390,940,1314,1,Brain,Medulla and Pons(Hb)
102x391,P4-1,102,391,931,1314,1,Brain,Medulla and Pons(Hb)
102x392,P4-1,102,392,921,1314,1,Brain,Medulla and Pons(Hb)
102x397,P4-1,102,397,874,1314,1,Brain,Fiber tracts
103x272,P4-1,103,272,2104,1318,1,Brain,Hy
103x273,P4-1,103,273,2095,1318,1,Brain,Hy
103x274,P4-1,103,274,2086,1318,1,Brain,Hy
103x275,P4-1,103,275,2076,1318,1,Brain,Hy
103x276,P4-1,103,276,2067,1318,1,Brain,Hy
103x277,P4-1,103,277,2057,1318,1,Brain,Hy
103x278,P4-1,103,278,2048,1318,1,Brain,Hy
103x279,P4-1,103,279,2039,1318,1,Brain,Hy
103x280,P4-1,103,280,2029,1318,1,Brain,Hy
103x281,P4-1,103,281,2020,1318,1,Brain,Hy
103x282,P4-1,103,282,2011,1319,1,Brain,Hy
103x283,P4-1,103,283,2001,1319,1,Brain,Hy
103x284,P4-1,103,284,1992,1319,1,Brain,Hy
103x285,P4-1,103,285,1983,1319,1,Brain,Hy
103x286,P4-1,103,286,1973,1319,1,Brain,Hy
103x287,P4-1,103,287,1964,1319,1,Brain,Hy
103x288,P4-1,103,288,1955,1319,1,Brain,Hy
103x289,P4-1,103,289,1945,1319,1,Brain,Hy
103x290,P4-1,103,290,1936,1319,1,Brain,Hy
103x291,P4-1,103,291,1927,1319,1,Brain,Hy
103x292,P4-1,103,292,1917,1319,1,Brain,Hy
103x293,P4-1,103,293,1908,1319,1,Brain,Hy
103x294,P4-1,103,294,1898,1319,1,Brain,Hy
103x295,P4-1,103,295,1889,1319,1,Brain,Hy
103x296,P4-1,103,296,1880,1319,1,Brain,Hy
103x297,P4-1,103,297,1870,1319,1,Brain,Hy
103x298,P4-1,103,298,1861,1319,1,Brain,Hy
103x299,P4-1,103,299,1852,1319,1,Brain,Hy
103x300,P4-1,103,300,1842,1319,1,Brain,Hy
103x301,P4-1,103,301,1772,1320,1,Brain,Hy
103x302,P4-1,103,302,1763,1320,1,Brain,Hy
103x303,P4-1,103,303,1754,1320,1,Brain,Hy
103x304,P4-1,103,304,1744,1320,1,Brain,Hy
103x305,P4-1,103,305,1735,1320,1,Brain,Hy
103x306,P4-1,103,306,1725,1320,1,Brain,Hy
103x307,P4-1,103,307,1716,1320,1,Brain,Hy
103x308,P4-1,103,308,1707,1320,1,Brain,Hy
103x309,P4-1,103,309,1697,1320,1,Brain,Hy
103x310,P4-1,103,310,1688,1320,1,Brain,Hy
103x316,P4-1,103,316,1632,1320,1,Brain,PG
103x317,P4-1,103,317,1623,1320,1,Brain,PG
103x318,P4-1,103,318,1613,1320,1,Brain,PG
103x319,P4-1,103,319,1604,1320,1,Brain,PG
103x320,P4-1,103,320,1595,1320,1,Brain,PG
103x321,P4-1,103,321,1585,1320,1,Brain,PG
103x322,P4-1,103,322,1576,1320,1,Brain,PG
103x323,P4-1,103,323,1566,1321,1,Brain,PG
103x324,P4-1,103,324,1557,1321,1,Brain,PG
103x325,P4-1,103,325,1548,1321,1,Brain,PG
103x326,P4-1,103,326,1538,1321,1,Brain,Medulla and Pons(Hb)
103x327,P4-1,103,327,1529,1321,1,Brain,Medulla and Pons(Hb)
